err_x,err_y,err_z,rot_x_1,rot_x_2,rot_x_3,rot_y_1,rot_y_2,rot_y_3,rot_z_1,rot_z_2,rot_z_3,root_linvels_x,root_linvels_y,root_linvels_z,root_angvels_x,root_angvels_y,root_angvels_z,relative_pos0_x,relative_pos0_y,relative_pos0_z,relative_pos1_x,relative_pos1_y,relative_pos1_z,relative_pos2_x,relative_pos2_y,relative_pos2_z,relative_pos3_x,relative_pos3_y,relative_pos3_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0010744509,0.0010897095,-0.042649984,0.99994105,0.010799138,0.0011757422,-0.010797197,0.9999403,-0.0016450387,-0.0011934371,0.001632247,0.99999785,-0.00023621356,-0.0015871802,0.04946928,-0.0975429,-0.071173444,0.64494663,0.0010744509,0.0010897095,-0.042649984,0.03309689,0.03310611,-0.042649984,0.09770103,0.097560965,-0.042649984,0.18429017,0.18326415,-0.042649984
0.004164951,0.004180198,-0.044299006,0.9994741,0.032236166,0.0034027263,-0.032219306,0.99946845,-0.00489887,-0.0035588397,0.0047866623,0.9999818,-0.0016136921,-0.0020515814,0.09895102,-0.19190474,-0.13749982,1.2833971,0.004164951,0.004180198,-0.044299006,0.04385538,0.043856613,-0.044299006,0.1135335,0.1133052,-0.044299006,0.20365325,0.20226431,-0.044299006
0.009090273,0.009090151,-0.04677272,0.99791473,0.06420877,0.0065606404,-0.06414343,0.9978931,-0.009726598,-0.0071713515,0.009285496,0.999931,-0.0035375764,-0.00088238076,0.14842457,-0.28014424,-0.20318481,1.9188083,0.009090273,0.009090151,-0.04677272,0.055807725,0.05577887,-0.04677272,0.13018781,0.12982094,-0.04677272,0.22360757,0.22175053,-0.04677272
0.015728578,0.015628766,-0.050070643,0.99423736,0.10667464,0.010598052,-0.106496915,0.9941823,-0.016118078,-0.012255788,0.014896538,0.9998138,-0.0054290947,0.0017423593,0.19786821,-0.3617247,-0.27436003,2.5562882,0.015728578,0.015628766,-0.050070643,0.0689017,0.06874839,-0.050070643,0.14764728,0.14701398,-0.050070643,0.2441562,0.2416432,-0.050070643
0.02392285,0.023607844,-0.054192185,0.98706615,0.15955713,0.015536622,-0.15916064,0.9869586,-0.024084343,-0.019176837,0.021300027,0.9995889,-0.007280323,0.005349914,0.24728268,-0.43484604,-0.35771966,3.199077,0.02392285,0.023607844,-0.054192185,0.08304066,0.08263345,-0.054192185,0.16584666,0.1647786,-0.054192185,0.26525143,0.26184922,-0.054192185
0.033554655,0.032907747,-0.05913675,0.9746791,0.22258748,0.02133716,-0.22181015,0.97450686,-0.033711813,-0.028297039,0.028125405,0.99920374,-0.0098361755,0.009634921,0.2966878,-0.5011541,-0.45246744,3.8464127,0.033554655,0.032907747,-0.05913675,0.09815879,0.0973626,-0.05913675,0.18474793,0.18306579,-0.05913675,0.28687117,0.28233075,-0.05913675
0.044542026,0.04338359,-0.06490362,0.95505124,0.29513654,0.027778102,-0.29375073,0.95481557,-0.045141913,-0.03984599,0.034953,0.99859434,-0.014325038,0.014707702,0.34608278,-0.56315315,-0.5513705,4.494348,0.044542026,0.04338359,-0.06490362,0.11422014,0.11283218,-0.06490362,0.20433989,0.20179129,-0.06490362,0.3090182,0.30301297,-0.06490362
0.056822434,0.054939635,-0.071492314,0.92593455,0.37609953,0.0345559,-0.37381035,0.9256646,-0.058400277,-0.053951498,0.041157488,0.99769485,-0.021947753,0.021014463,0.3953969,-0.6140223,-0.6510419,5.1391635,0.056822434,0.054939635,-0.071492314,0.13120252,0.12898171,-0.071492314,0.22462228,0.2209113,-0.071492314,0.3317054,0.32386085,-0.071492314
0.070374176,0.06743614,-0.07889974,0.88495123,0.4638429,0.04136242,-0.46029887,0.88472944,-0.073337786,-0.070611775,0.045861296,0.9964489,-0.033454027,0.028984938,0.44449252,-0.64376956,-0.74908453,5.780258,0.070374176,0.06743614,-0.07889974,0.14911975,0.14570172,-0.07889974,0.24562867,0.24033095,-0.07889974,0.35497767,0.34478685,-0.07889974
